Menu_ID,Restaurant_ID,Food_category,Item_name,Price,Currency,Calories,Protein,Fat,Carbohydrates,Sugar,Sodium,Vegetarian,Vegan,Gluten_free
MENRES000005_2,RES000005,Dessert,Dessert Item 2,65.84,JPY,1283,15.7,91.1,97.0,10.2,174.4,False,False,True
MENRES000005_3,RES000005,Main,Main Item 3,22.26,JPY,1194,56.5,83.1,82.0,38.0,1390.7,False,False,False
MENRES000005_4,RES000005,Starter,Starter Item 4,13.42,JPY,142,78.8,44.9,52.6,86.1,803.3,True,True,False
MENRES000005_5,RES000005,Beverage,Beverage Item 5,19.44,JPY,888,68.0,53.1,110.0,15.4,1866.3,False,False,True
MENRES000005_6,RES000005,Dessert,Dessert Item 6,34.42,JPY,487,84.7,84.0,40.5,49.6,1352.2,True,False,True
MENRES000005_7,RES000005,Dessert,Dessert Item 7,67.19,JPY,792,62.8,62.5,15.3,73.6,1677.4,False,False,True
MENRES000005_8,RES000005,Starter,Starter Item 8,52.91,JPY,959,71.7,96.3,10.1,43.7,42.6,False,False,True
MENRES000005_9,RES000005,Main,Main Item 9,37.98,JPY,832,77.6,79.0,103.1,32.9,1752.8,True,False,True
MENRES000005_10,RES000005,Main,Main Item 10,43.29,JPY,262,14.5,6.9,105.3,86.1,1810.6,True,True,True
MENRES000005_11,RES000005,Main,Main Item 11,42.23,JPY,1169,49.5,32.1,105.6,30.1,1592.0,False,False,False
MENRES000005_12,RES000005,Starter,Starter Item 12,38.21,JPY,894,9.0,79.8,50.3,92.8,894.6,False,False,True
MENRES000005_13,RES000005,Starter,Starter Item 13,44.52,JPY,1212,16.0,63.6,80.5,24.1,1529.9,True,False,False
MENRES000006_0,RES000006,Beverage,Beverage Item 0,119.48,BRL,852,19.9,16.1,89.4,70.1,1581.4,True,True,False
MENRES000006_1,RES000006,Dessert,Dessert Item 1,119.99,BRL,1138,76.8,42.6,87.9,21.2,1134.8,True,True,True
MENRES000006_2,RES000006,Dessert,Dessert Item 2,26.13,BRL,1421,10.8,28.8,31.0,48.1,1572.1,False,False,False
MENRES000006_3,RES000006,Starter,Starter Item 3,24.29,BRL,932,45.4,71.9,53.2,27.8,360.4,True,True,True
MENRES000006_4,RES000006,Main,Main Item 4,94.7,BRL,1348,11.2,37.8,67.9,99.0,94.4,False,False,False
MENRES000006_5,RES000006,Beverage,Beverage Item 5,141.08,BRL,888,54.3,28.6,116.6,10.5,1450.7,False,False,False
MENRES000006_6,RES000006,Dessert,Dessert Item 6,126.1,BRL,948,8.4,81.7,115.7,91.7,661.8,True,False,True
MENRES000006_7,RES000006,Dessert,Dessert Item 7,41.65,BRL,1493,33.7,50.3,65.1,66.6,280.5,False,False,True
MENRES000006_8,RES000006,Dessert,Dessert Item 8,72.59,BRL,929,10.3,87.1,111.7,74.5,1721.9,True,True,True
MENRES000006_9,RES000006,Main,Main Item 9,23.1,BRL,1297,95.0,27.2,44.1,31.2,1029.9,False,False,True
MENRES000007_0,RES000007,Dessert,Dessert Item 0,24.16,USD,1067,72.7,34.7,102.1,51.7,729.3,False,False,True
MENRES000007_1,RES000007,Beverage,Beverage Item 1,57.78,USD,652,8.0,48.7,66.8,70.4,1583.4,True,False,False
MENRES000007_2,RES000007,Starter,Starter Item 2,59.53,USD,1105,49.7,82.3,137.1,56.1,890.7,True,True,True
MENRES000007_3,RES000007,Starter,Starter Item 3,23.62,USD,1199,34.9,45.9,49.0,91.2,498.1,False,False,False
MENRES000007_4,RES000007,Starter,Starter Item 4,46.63,USD,250,46.6,28.5,124.4,51.5,1883.2,False,False,False
MENRES000007_5,RES000007,Main,Main Item 5,69.35,USD,498,77.0,39.6,87.0,33.1,1388.9,False,False,False
MENRES000007_6,RES000007,Starter,Starter Item 6,17.82,USD,249,57.2,3.2,60.0,67.3,1130.4,False,False,True
MENRES000007_7,RES000007,Starter,Starter Item 7,72.13,USD,173,31.8,90.4,94.3,28.9,457.8,True,True,True
MENRES000007_8,RES000007,Main,Main Item 8,48.38,USD,798,40.2,6.0,30.9,50.4,1975.3,False,False,True
MENRES000007_9,RES000007,Beverage,Beverage Item 9,17.13,USD,1313,61.6,2.8,79.2,37.3,32.2,True,False,False
MENRES000007_10,RES000007,Dessert,Dessert Item 10,57.92,USD,481,87.1,34.3,80.7,71.6,1136.1,False,False,False
MENRES000007_11,RES000007,Dessert,Dessert Item 11,67.62,USD,251,82.9,45.4,24.7,29.0,166.4,True,False,False
MENRES000007_12,RES000007,Dessert,Dessert Item 12,54.73,USD,924,29.7,24.3,1.3,68.9,1480.4,False,False,False
MENRES000007_13,RES000007,Main,Main Item 13,21.1,USD,921,34.8,45.4,45.5,58.2,194.8,True,True,True
MENRES000007_14,RES000007,Starter,Starter Item 14,15.41,USD,336,62.7,36.5,40.0,7.1,719.4,True,False,False
MENRES000007_15,RES000007,Starter,Starter Item 15,49.54,USD,607,22.5,56.0,85.9,58.4,1278.4,True,False,False
MENRES000007_16,RES000007,Main,Main Item 16,59.79,USD,358,82.8,20.4,63.3,98.1,1221.9,True,True,False
MENRES000007_17,RES000007,Starter,Starter Item 17,30.31,USD,177,84.9,90.3,78.9,78.5,629.4,True,False,False
MENRES000008_0,RES000008,Dessert,Dessert Item 0,14.6,JPY,1400,38.0,64.1,66.8,58.1,1050.7,False,False,True
MENRES000008_1,RES000008,Beverage,Beverage Item 1,27.89,JPY,1247,19.3,96.3,131.8,34.1,176.2,False,False,True
MENRES000008_2,RES000008,Starter,Starter Item 2,13.33,JPY,530,96.0,18.9,145.4,72.6,1885.0,False,False,True
MENRES000008_3,RES000008,Dessert,Dessert Item 3,26.57,JPY,613,92.0,35.3,17.6,41.7,895.6,True,False,False
MENRES000008_4,RES000008,Beverage,Beverage Item 4,8.01,JPY,230,94.8,74.5,47.2,17.6,1230.8,True,True,False
MENRES000008_5,RES000008,Starter,Starter Item 5,30.72,JPY,920,18.8,19.1,13.6,63.8,1854.7,True,False,False
MENRES000008_6,RES000008,Beverage,Beverage Item 6,18.79,JPY,499,65.2,46.7,10.5,25.7,1591.5,True,True,True
MENRES000008_7,RES000008,Main,Main Item 7,10.16,JPY,885,87.2,84.6,140.8,16.0,603.2,False,False,True
MENRES000008_8,RES000008,Starter,Starter Item 8,8.91,JPY,115,42.3,68.3,111.9,8.4,1310.4,False,False,False
MENRES000008_9,RES000008,Main,Main Item 9,31.37,JPY,1322,72.3,3.2,68.4,36.5,698.8,True,False,False
MENRES000008_10,RES000008,Beverage,Beverage Item 10,39.18,JPY,287,84.3,55.6,6.9,56.3,1537.4,False,False,True
MENRES000008_11,RES000008,Main,Main Item 11,29.24,JPY,124,22.7,41.2,19.7,67.4,542.0,True,True,False
MENRES000008_12,RES000008,Dessert,Dessert Item 12,12.72,JPY,1142,19.0,92.6,82.7,9.0,1717.3,False,False,False
MENRES000008_13,RES000008,Beverage,Beverage Item 13,31.9,JPY,1144,3.9,83.0,108.3,78.4,969.0,False,False,False
MENRES000008_14,RES000008,Dessert,Dessert Item 14,16.57,JPY,1157,66.2,4.5,60.2,84.3,1027.5,False,False,False
MENRES000008_15,RES000008,Dessert,Dessert Item 15,33.77,JPY,1288,17.0,71.0,125.9,90.9,327.8,True,True,True
MENRES000008_16,RES000008,Beverage,Beverage Item 16,35.65,JPY,119,94.1,82.6,139.3,81.8,1821.7,True,False,True
MENRES000008_17,RES000008,Dessert,Dessert Item 17,7.45,JPY,246,56.8,68.8,4.4,29.5,267.3,True,False,False
MENRES000008_18,RES000008,Starter,Starter Item 18,34.81,JPY,505,14.8,81.4,73.4,32.4,536.1,True,True,True
MENRES000008_19,RES000008,Main,Main Item 19,29.5,JPY,337,59.9,21.7,101.5,76.9,1948.1,False,False,False
MENRES000009_0,RES000009,Beverage,Beverage Item 0,37.36,BRL,1040,77.1,21.2,105.8,80.7,1048.1,True,False,True
MENRES000009_1,RES000009,Dessert,Dessert Item 1,63.9,BRL,1054,98.1,48.6,118.5,25.4,116.2,True,False,True
MENRES000009_2,RES000009,Main,Main Item 2,42.14,BRL,213,27.3,50.0,118.5,15.2,678.0,True,False,True
MENRES000009_3,RES000009,Dessert,Dessert Item 3,62.71,BRL,1362,10.4,78.6,55.9,73.9,1668.6,True,False,True
MENRES000009_4,RES000009,Beverage,Beverage Item 4,36.77,BRL,1494,53.2,14.9,114.3,77.2,1491.1,False,False,False
MENRES000009_5,RES000009,Beverage,Beverage Item 5,19.69,BRL,297,75.9,17.2,124.0,56.7,731.3,False,False,True
MENRES000009_6,RES000009,Main,Main Item 6,34.99,BRL,1391,95.2,18.3,29.1,28.4,1311.1,False,False,True
MENRES000009_7,RES000009,Main,Main Item 7,14.24,BRL,276,23.2,97.5,85.7,36.5,828.9,True,True,False
MENRES000009_8,RES000009,Dessert,Dessert Item 8,40.22,BRL,572,96.6,80.1,20.1,5.1,438.9,True,True,True
MENRES000009_9,RES000009,Dessert,Dessert Item 9,13.02,BRL,893,34.3,44.9,115.2,34.1,510.5,False,False,False
MENRES000010_0,RES000010,Starter,Starter Item 0,22.86,USD,573,92.0,97.5,19.8,34.1,1088.9,False,False,False
MENRES000010_1,RES000010,Starter,Starter Item 1,25.06,USD,842,58.9,6.1,42.6,41.2,466.2,True,False,False
MENRES000010_2,RES000010,Starter,Starter Item 2,23.42,USD,1034,60.3,57.0,23.0,91.6,858.1,True,True,False
MENRES000010_3,RES000010,Dessert,Dessert Item 3,13.28,USD,591,11.7,7.6,39.4,40.8,647.5,True,True,True
MENRES000010_4,RES000010,Dessert,Dessert Item 4,24.89,USD,876,79.5,89.4,99.2,54.6,1704.7,False,False,False
MENRES000010_5,RES000010,Starter,Starter Item 5,9.23,USD,1382,46.4,57.9,50.5,7.2,319.3,False,False,False
MENRES000010_6,RES000010,Beverage,Beverage Item 6,10.03,USD,889,39.1,94.7,106.5,66.8,632.1,False,False,True
MENRES000010_7,RES000010,Beverage,Beverage Item 7,39.06,USD,680,68.5,81.3,106.3,38.8,1672.5,True,True,True
MENRES000010_8,RES000010,Main,Main Item 8,6.19,USD,1460,7.6,47.8,64.2,63.7,367.8,False,False,False
MENRES000010_9,RES000010,Main,Main Item 9,17.13,USD,1018,78.5,79.7,1.6,59.9,1295.2,False,False,True
MENRES000011_0,RES000011,Dessert,Dessert Item 0,22.12,JPY,527,66.1,38.2,105.9,2.5,1102.2,False,False,False
MENRES000011_1,RES000011,Beverage,Beverage Item 1,29.18,JPY,127,88.7,83.9,27.6,20.5,1887.3,True,False,True
MENRES000011_2,RES000011,Dessert,Dessert Item 2,17.51,JPY,989,38.4,16.3,14.4,46.9,1589.3,True,True,True
MENRES000011_3,RES000011,Dessert,Dessert Item 3,31.49,JPY,662,42.2,9.2,135.4,53.0,607.3,True,False,False
MENRES000011_4,RES000011,Beverage,Beverage Item 4,30.28,JPY,167,93.0,36.2,51.4,59.4,185.0,False,False,False
MENRES000011_5,RES000011,Starter,Starter Item 5,10.13,JPY,1403,94.8,21.0,119.2,79.4,778.0,True,False,True
MENRES000011_6,RES000011,Dessert,Dessert Item 6,36.81,JPY,872,68.7,89.0,63.8,16.1,1996.0,False,False,False
MENRES000011_7,RES000011,Main,Main Item 7,10.33,JPY,1410,95.8,58.9,77.8,26.0,535.9,False,False,False
MENRES000011_8,RES000011,Dessert,Dessert Item 8,37.87,JPY,405,60.0,38.1,44.3,49.4,477.3,False,False,True
MENRES000011_9,RES000011,Beverage,Beverage Item 9,25.37,JPY,1472,60.2,72.4,75.0,28.4,688.2,True,True,False
MENRES000011_10,RES000011,Starter,Starter Item 10,7.14,JPY,294,74.8,86.1,130.4,38.9,1544.5,True,True,False
MENRES000011_11,RES000011,Starter,Starter Item 11,30.02,JPY,182,32.5,96.8,52.7,86.5,1243.0,True,False,False
MENRES000011_12,RES000011,Beverage,Beverage Item 12,16.08,JPY,1310,59.7,23.2,68.2,69.8,1976.8,True,False,False
MENRES000011_13,RES000011,Main,Main Item 13,32.73,JPY,200,26.5,20.3,101.1,19.5,1351.7,False,False,False
MENRES000011_14,RES000011,Main,Main Item 14,35.92,JPY,584,55.2,11.3,28.0,91.4,1808.7,True,False,False
MENRES000011_15,RES000011,Main,Main Item 15,30.81,JPY,1321,36.7,16.5,86.6,10.5,1938.2,True,True,True
MENRES000012_0,RES000012,Main,Main Item 0,20.39,INR,266,84.4,74.0,78.3,64.6,147.2,False,False,False
MENRES000012_1,RES000012,Starter,Starter Item 1,40.87,INR,786,92.2,59.8,18.8,24.3,356.1,False,False,False
MENRES000012_2,RES000012,Main,Main Item 2,44.68,INR,557,78.7,85.8,46.4,99.4,1218.1,False,False,True
MENRES000012_3,RES000012,Starter,Starter Item 3,94.46,INR,740,68.3,28.7,126.9,89.9,778.2,False,False,True
MENRES000012_4,RES000012,Beverage,Beverage Item 4,61.63,INR,1496,72.3,97.1,19.3,52.9,612.4,True,False,True
MENRES000012_5,RES000012,Beverage,Beverage Item 5,101.24,INR,146,46.9,93.3,58.1,60.4,1368.3,False,False,False
MENRES000012_6,RES000012,Main,Main Item 6,117.15,INR,626,67.1,83.4,50.2,19.6,969.7,False,False,True
MENRES000012_7,RES000012,Main,Main Item 7,62.47,INR,575,34.5,60.6,140.5,67.9,1111.1,False,False,False
MENRES000012_8,RES000012,Beverage,Beverage Item 8,113.94,INR,1038,36.2,44.9,14.8,99.9,623.9,True,False,False
MENRES000012_9,RES000012,Dessert,Dessert Item 9,113.24,INR,493,31.3,86.9,51.8,68.5,528.5,True,True,False
MENRES000012_10,RES000012,Beverage,Beverage Item 10,62.26,INR,1348,13.6,62.4,10.8,37.2,532.4,False,False,False
MENRES000013_0,RES000013,Main,Main Item 0,124.68,USD,584,30.6,58.5,10.0,77.7,730.3,True,True,False
MENRES000013_1,RES000013,Starter,Starter Item 1,97.84,USD,1460,81.2,42.4,37.4,89.4,1076.9,False,False,False
MENRES000013_2,RES000013,Starter,Starter Item 2,123.68,USD,191,17.7,23.4,53.5,47.7,399.6,False,False,True
MENRES000013_3,RES000013,Main,Main Item 3,67.95,USD,621,55.4,67.8,120.5,7.6,1951.5,False,False,True
MENRES000013_4,RES000013,Dessert,Dessert Item 4,139.52,USD,1059,68.2,15.5,87.4,79.8,531.4,True,False,True
MENRES000013_5,RES000013,Starter,Starter Item 5,97.86,USD,940,75.0,15.3,75.8,9.7,1897.2,False,False,False
MENRES000013_6,RES000013,Dessert,Dessert Item 6,50.64,USD,963,36.9,88.2,78.6,47.9,1765.0,False,False,True
MENRES000013_7,RES000013,Beverage,Beverage Item 7,42.35,USD,1376,87.1,11.2,1.4,77.9,690.5,False,False,False
MENRES000013_8,RES000013,Main,Main Item 8,129.44,USD,1406,6.1,87.3,2.1,58.3,1896.3,False,False,True
MENRES000013_9,RES000013,Dessert,Dessert Item 9,45.76,USD,1281,10.1,78.0,44.2,67.8,633.6,True,False,True
MENRES000013_10,RES000013,Beverage,Beverage Item 10,97.81,USD,1049,28.0,79.7,3.2,16.6,139.5,False,False,False
MENRES000013_11,RES000013,Main,Main Item 11,136.44,USD,843,64.3,83.8,139.7,53.8,991.7,True,True,False
MENRES000013_12,RES000013,Starter,Starter Item 12,26.05,USD,830,76.7,1.1,18.4,30.1,625.8,False,False,True
MENRES000013_13,RES000013,Main,Main Item 13,22.85,USD,1043,78.8,78.8,148.0,28.1,1651.1,True,False,True
MENRES000014_0,RES000014,Beverage,Beverage Item 0,40.44,BRL,503,18.4,30.0,67.6,86.0,280.3,True,False,True
MENRES000014_1,RES000014,Starter,Starter Item 1,65.35,BRL,944,76.0,26.6,52.6,49.6,196.2,False,False,True
MENRES000014_2,RES000014,Main,Main Item 2,20.54,BRL,1166,68.8,1.0,145.6,11.9,1703.5,True,True,False
MENRES000014_3,RES000014,Starter,Starter Item 3,26.52,BRL,1497,8.3,80.1,106.1,57.5,494.2,True,True,True
MENRES000014_4,RES000014,Starter,Starter Item 4,15.06,BRL,528,70.0,93.7,59.3,8.0,330.9,False,False,False
MENRES000014_5,RES000014,Starter,Starter Item 5,73.42,BRL,545,7.5,99.1,120.4,98.3,332.1,False,False,False
MENRES000014_6,RES000014,Dessert,Dessert Item 6,47.62,BRL,1122,58.7,49.6,87.3,10.7,1888.6,True,True,True
MENRES000014_7,RES000014,Starter,Starter Item 7,64.35,BRL,1254,2.0,31.4,27.4,77.7,78.9,True,False,False
MENRES000014_8,RES000014,Starter,Starter Item 8,23.36,BRL,982,92.5,52.4,110.6,71.5,1253.1,True,False,True
MENRES000014_9,RES000014,Dessert,Dessert Item 9,58.44,BRL,169,82.0,43.7,133.7,47.1,78.6,False,False,True
MENRES000015_0,RES000015,Starter,Starter Item 0,18.34,USD,289,51.4,75.3,56.2,12.3,928.9,True,False,True
MENRES000015_1,RES000015,Dessert,Dessert Item 1,65.72,USD,838,11.1,69.9,83.0,94.6,1394.6,True,False,False
MENRES000015_2,RES000015,Main,Main Item 2,19.26,USD,315,58.2,0.6,64.8,52.1,1672.4,True,True,True
MENRES000015_3,RES000015,Dessert,Dessert Item 3,39.4,USD,1220,55.9,69.5,122.8,67.7,619.9,True,False,False
MENRES000015_4,RES000015,Dessert,Dessert Item 4,62.49,USD,922,92.7,24.0,3.2,62.0,1323.6,False,False,False
MENRES000015_5,RES000015,Starter,Starter Item 5,54.02,USD,122,67.2,38.7,12.6,36.5,194.0,False,False,True
MENRES000015_6,RES000015,Beverage,Beverage Item 6,71.82,USD,1141,9.5,85.9,132.8,1.5,1756.0,False,False,False
MENRES000015_7,RES000015,Dessert,Dessert Item 7,42.79,USD,1169,99.2,14.9,80.7,67.1,382.5,True,False,False
MENRES000015_8,RES000015,Beverage,Beverage Item 8,70.2,USD,954,92.1,84.6,45.1,27.2,1163.9,True,True,True
MENRES000015_9,RES000015,Starter,Starter Item 9,67.92,USD,566,41.7,69.6,14.1,1.2,1434.7,True,True,False
MENRES000015_10,RES000015,Starter,Starter Item 10,33.38,USD,1411,35.9,61.4,69.9,8.4,136.3,False,False,True
MENRES000015_11,RES000015,Starter,Starter Item 11,72.89,USD,311,90.6,48.1,90.7,98.9,967.0,True,False,True
MENRES000015_12,RES000015,Beverage,Beverage Item 12,40.5,USD,218,47.2,37.2,2.6,60.3,411.3,True,True,False
MENRES000015_13,RES000015,Beverage,Beverage Item 13,68.11,USD,379,45.1,3.9,100.7,9.9,304.2,False,False,True
MENRES000015_14,RES000015,Starter,Starter Item 14,60.89,USD,143,52.7,67.2,43.9,41.9,499.4,False,False,False
MENRES000015_15,RES000015,Beverage,Beverage Item 15,79.07,USD,1143,79.9,74.2,112.6,9.7,1709.0,False,False,False
MENRES000015_16,RES000015,Beverage,Beverage Item 16,15.41,USD,1400,66.2,66.9,143.8,39.1,1684.4,True,True,True
MENRES000016_0,RES000016,Beverage,Beverage Item 0,103.29,BRL,759,38.2,63.7,41.4,36.9,1993.9,False,False,False
MENRES000016_1,RES000016,Dessert,Dessert Item 1,42.72,BRL,521,73.6,95.2,141.2,30.4,1086.2,True,False,True
MENRES000016_2,RES000016,Dessert,Dessert Item 2,63.26,BRL,1324,61.9,4.0,55.9,43.9,255.5,True,True,False
MENRES000016_3,RES000016,Dessert,Dessert Item 3,109.9,BRL,1335,34.7,76.3,1.5,59.2,67.9,False,False,False
MENRES000016_4,RES000016,Main,Main Item 4,47.1,BRL,483,70.7,63.4,41.1,78.7,1743.9,True,True,False
MENRES000016_5,RES000016,Beverage,Beverage Item 5,32.15,BRL,580,28.6,37.8,114.4,76.8,1504.7,False,False,False
MENRES000016_6,RES000016,Beverage,Beverage Item 6,74.61,BRL,656,96.1,60.7,17.8,68.9,1800.9,True,True,False
MENRES000017_0,RES000017,Starter,Starter Item 0,149.47,GBP,298,88.1,87.5,114.0,98.2,255.8,False,False,True
MENRES000017_1,RES000017,Main,Main Item 1,78.12,GBP,262,7.7,83.5,110.7,43.9,1425.2,False,False,True
MENRES000017_2,RES000017,Main,Main Item 2,52.24,GBP,656,53.6,97.3,47.4,64.4,1130.8,False,False,True
MENRES000017_3,RES000017,Starter,Starter Item 3,87.37,GBP,1357,7.5,43.0,138.9,92.6,221.2,False,False,False
MENRES000017_4,RES000017,Main,Main Item 4,105.75,GBP,441,77.9,67.7,91.8,87.5,559.0,False,False,True
MENRES000018_0,RES000018,Starter,Starter Item 0,54.98,GBP,320,40.4,58.5,92.0,11.9,102.1,True,False,True
MENRES000018_1,RES000018,Main,Main Item 1,28.52,GBP,335,63.4,99.0,29.0,83.6,1948.5,True,False,False
MENRES000018_2,RES000018,Starter,Starter Item 2,66.85,GBP,123,23.1,71.2,81.0,43.0,323.9,False,False,False
MENRES000018_3,RES000018,Dessert,Dessert Item 3,75.96,GBP,989,98.7,94.7,141.1,12.9,285.1,False,False,True
MENRES000018_4,RES000018,Starter,Starter Item 4,19.0,GBP,1257,58.4,51.5,143.5,68.1,1313.4,True,True,False
MENRES000018_5,RES000018,Dessert,Dessert Item 5,70.1,GBP,786,52.3,35.6,57.6,5.1,667.0,True,True,False
